Track name,Artist name,Album,Playlist name,Type,ISRC
"Eladio Carrión - Cuevita","","","Favoritos","Playlist",""
"Eladio Carrión - Padre Tiempo","","","Favoritos","Playlist",""
"Eladio Carrión · SHB · Hydro - Betty","","","Favoritos","Playlist",""
"JHAYCO - Kobe En LA","","","Favoritos","Playlist",""
"Eladio Carrion · La Manta · Joel Cespedes - Que Me Importa","","","Favoritos","Playlist",""
"Eladio Carrion - Hola Como Vas","","","Favoritos","Playlist",""
"Polimá Westcoast · Quevedo · Mora - LACONE","","","Favoritos","Playlist",""
"Feid - AMOR DE MI VIDA","","","Favoritos","Playlist",""
"Bad Bunny · ABRA · Benito A. Martínez Ocasio - SORRY PAPI","","","Favoritos","Playlist",""
"Eladio Carrion · Eladio Carrion Morales - Caras Vemos","","","Favoritos","Playlist",""
"Bad Bunny · Yaviah · Benito A. Martinez Ocasio · Javier Alexis Marcano Rodríguez - Bichiyal","","","Favoritos","Playlist",""
"JHAYCO - Me Extraña","","","Favoritos","Playlist",""
"David Marley · Jeeiph · JC Reyes - Antes de dormir (Remix)","","","Favoritos","Playlist",""
"Homeboiii - pudiste dormir???","","","Favoritos","Playlist",""
"DEKKO - El Cielo Se Me Cayó","","","Favoritos","Playlist",""
"Rauw Alejandro - DIME QUIÉN????","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - badtrip :(","","","Favoritos","Playlist",""
"Feid · Manuel Turizo - BORRAXXA","","","Favoritos","Playlist",""
"Feid · Maluma · Sky Rompiendo - FRESH KERIAS","","","Favoritos","Playlist",""
"Feid - ATEO","","","Favoritos","Playlist",""
"Feid - TX VXS","","","Favoritos","Playlist",""
"Sael - Europeo","","","Favoritos","Playlist",""
"Saiko · The Prodigiez · Miguel Cantos Gomez - Sikora","","","Favoritos","Playlist",""
"Yandel · Baby Rasta y Gringo · Ernesto Fidel Padilla · Wilmer Manuel Alicea · Samuel Gerena Monge · Yandel Veguilla Malave · Ismael Guerra · Adrian Llandel Veguilla-Espada - Anda Decidida","","","Favoritos","Playlist",""
"Aya Nakamura · Myke Towers - T'as peur","","","Favoritos","Playlist",""
"Eladio Carrion - Toretto","","","Favoritos","Playlist",""
"Eladio Carrion - Adiós","","","Favoritos","Playlist",""
"Eladio Carrion - 4 Am","","","Favoritos","Playlist",""
"Eladio Carrion · Lunay · Jefnier Osorio Moreno - Nena Buena","","","Favoritos","Playlist",""
"Chesca · Dalex - Easy","","","Favoritos","Playlist",""
"Omy De Oro · Rochy RD - Maliante","","","Favoritos","Playlist",""
"Quevedo · Pedro Domínguez Quevedo · GARABATTO - LISBOA","","","Favoritos","Playlist",""
"Quevedo · Pedro Domínguez Quevedo · GARABATTO - ÉRAMOS DOS","","","Favoritos","Playlist",""
"Quevedo · Ovy On The Drums · Pedro Domínguez Quevedo - WANDA","","","Favoritos","Playlist",""
"Quevedo · JC Reyes · GARABATTO · Pedro Domínguez Quevedo · Juan Manuel Cortes Reyes - MUÑECA","","","Favoritos","Playlist",""
"Quevedo · GARABATTO · Pedro Domínguez Quevedo - CUÉNTALE","","","Favoritos","Playlist",""
"fedesttar - Playa Escondida","","","Favoritos","Playlist",""
"Yandel · Ernesto Fidel Padilla · Hector Caleb Lopez Jimenez · Diego Lopez Crespo · Llandel Veguilla Malave - Invencible","","","Favoritos","Playlist",""
"Yandel · Ñejo Y Dálmata · Carlos Crespo Planas · Fernando Mangual Vasquez · Llandel Veguilla Malave · Michael Sanchez Sanchez · Julian Maya Yepes · Rafael Regginalds Aponte - Poropopompon","","","Favoritos","Playlist",""
"Yandel · Young Miko · Maria Victoria Ramirez de Arellano · Llandel Veguilla Malave · Hector Caleb Lopez Jimenez · Jean Viana · Oscar Ortiz · Joan Manuel Ubiñas Jimenez · Diego Lopez Crespo - Cuando Te Toca","","","Favoritos","Playlist",""
"ABHIR · Saiko · Abhir Hathi · Blurred Mirror · Choclock · Saint Lowe - Keonda","","","Favoritos","Playlist",""
